Bird_ID,Species,Origin,Destination
B1163,Warbler,"-80.56177720270854, 115.88802148184106","-82.08399398238782, 7.888542662484497"
B1164,Warbler,"82.6212619236195, 72.39449139776602","1.2972481398204394, 87.2262547507691"
B1165,Eagle,"-59.74623704925145, -103.42360625974138","63.204367591026426, -107.62336884125564"
B1166,Warbler,"30.31584667302076, -19.71950645428197","-89.19936394221074, 17.566427136295374"
B1167,Crane,"74.32031078678, 28.077194336359582","-40.3570966316749, -61.1781106162982"
B1168,Swallow,"35.59987727657794, -118.85252880548728","75.58563930228735, 170.9138784703424"
B1169,Warbler,"-50.75106476598896, 77.3686175866415","-75.33546778951717, -9.28938966742595"
B1170,Warbler,"-33.15666622247585, 68.35778690196835","19.25936594990756, 92.0077148176888"
B1171,Goose,"-84.56294393800287, 139.3655805041863","1.3286999878788492, 37.163497089477005"
B1172,Goose,"20.296483351580434, 24.21826719415023","-62.697714633201926, -146.05245045973882"
B1173,Stork,"20.338736558681987, 26.75269105042929","-82.35233820249388, 15.453991946746385"
B1174,Hawk,"40.59010464774826, 42.979448148948535","0.4656783140100913, 14.477712288483303"
B1175,Crane,"-88.02066793038816, -81.43802590251364","42.323434018030696, 77.65536570356682"
B1176,Warbler,"57.211431988404, 93.098106460081","-58.09630008157605, -64.11311402127929"
B1177,Warbler,"42.96797233205547, 58.49973405454722","34.437569187670135, 129.83476113585527"
B1178,Swallow,"-64.64041028566402, 122.09242516592792","8.348996115377531, 44.13726025060393"
B1179,Stork,"-27.42721033158385, 96.6909617901374","-25.587643393668017, -165.83712694063254"
B1180,Hawk,"24.93448072275902, 49.88600298146247","29.597489320527487, 74.4608838472366"
B1181,Stork,"-0.7565625107409772, -122.07882567254438","-55.44418003491168, 146.50808761506033"
B1182,Eagle,"-69.28303249777277, 150.89303635517877","-7.752362228736956, 65.93295430996756"
B1183,Hawk,"-74.27783247541382, -47.8036147020666","8.874896681681989, -43.20097041793588"
B1184,Warbler,"50.66213383945649, 167.14748466603442","-7.434802752199772, 32.633579018227124"
B1185,Warbler,"-61.92591875679423, -35.326511279803015","-18.44975216570965, -118.29662243299012"
B1186,Hawk,"-59.02331869252016, -127.46221463405853","43.36445512228261, 36.4519704812688"
B1187,Warbler,"59.56616256421637, 138.54230909988053","28.09817397402297, 0.3573880325731693"
B1188,Crane,"20.185134221379077, 106.22114644633388","25.103175365055066, -170.5832321552225"
B1189,Hawk,"18.84880946771503, 103.06658020073024","70.52411608444118, -64.11964096240426"
B1190,Stork,"-3.717761154598804, -147.81212973679746","88.83011832386359, -111.15099032341402"
B1191,Hawk,"12.419102592412372, 136.54073989870818","12.096815979637384, -39.365306365578135"
B1192,Warbler,"18.318544266925983, 34.704229378629975","-27.31178201495221, -92.94032543941849"
B1193,Crane,"84.20872227184447, -10.67193494173668","50.19756285272664, 120.3295312333887"
B1194,Crane,"-49.86480465583573, 148.74178370872988","-64.4221686990901, 71.16605604049784"
B1195,Eagle,"-51.37876445391736, 59.77488689349852","2.3236507879522605, 86.44130698963579"
B1196,Stork,"-79.70067221304318, -132.10890341292506","4.411526751835112, -50.08776834119036"
B1197,Goose,"28.47578378567802, 7.0333833804133405","87.02421615533746, -178.7593085418928"
B1198,Goose,"8.827592548007132, 49.1819719851226","88.38122669760861, -101.10467080785666"
B1199,Hawk,"-69.97694330760484, 143.4782511833883","53.85854489055959, 91.90735359551452"
B1200,Eagle,"-24.3829916787263, -79.23812339703595","-4.857176198595639, 37.02125062828682"
B1201,Swallow,"-57.840623040383306, 105.92419883306952","8.50064219546104, 13.888139638690916"
B1202,Hawk,"-30.33328672784492, 107.93264538050865","-32.44650632668361, -79.0128232290883"
B1203,Eagle,"81.22755049102983, -133.90218546347495","59.37222666200654, -152.73276230866014"
B1204,Stork,"32.997390998495206, -173.79605420788573","44.37831489042708, 102.55192928400304"
B1205,Stork,"-88.63756185687446, 29.30749052344433","48.85655180834215, -166.0839955219149"
B1206,Stork,"-44.54854671885774, 104.21239906475483","-65.03825913208165, -158.71087120946655"
B1207,Stork,"-88.13492152599977, 19.59509675782698","-18.245885164138613, -73.82331517282493"
B1208,Stork,"38.67632977836254, 112.80509467195508","6.723304275949971, 26.256123863140942"
B1209,Eagle,"-5.504075630013901, 44.02913056830508","-67.561565641778, 177.2015459722088"
B1210,Eagle,"88.92336452659006, 55.1852502020281","-23.647855250953285, -147.36903285882215"
B1211,Crane,"42.04498698407849, -169.8644067254908","-74.2621459654421, -9.65851226269487"
B1212,Goose,"3.224329687418745, -148.1046469490066","82.59142090948754, 36.63118910166824"
B1213,Warbler,"54.846977077464345, 81.01066237771488","45.22739932368435, 116.31788656187518"
B1214,Stork,"36.86465722213369, 94.62358165546408","21.73466177725713, 68.26100944142075"
B1215,Swallow,"-46.12028802552231, 15.18407210315732","-53.125841965149455, 110.7869686602358"
B1216,Warbler,"5.446489468952976, 32.45944588237245","-29.85706130805461, 8.088842562602593"
B1217,Eagle,"10.079770470132758, 41.17170234422792","-63.99271765559523, -23.770510738572085"
B1218,Swallow,"-8.77829425059538, -142.2031252125782","6.501532852980787, 42.742194219127526"
B1219,Swallow,"-57.74532788603484, 60.44709753033485","57.6928781618642, 144.31349141327843"
B1220,Swallow,"-49.793570701580336, -7.750808365661868","-86.57342609583391, 18.30497837799209"
B1221,Crane,"-39.41146782792691, 36.90827160742046","-71.40443945447791, 38.01352290902307"
B1222,Eagle,"-88.15407311193053, 22.731058371788123","-48.71704069059958, -58.328584843494895"
B1223,Swallow,"75.04990059051167, 94.680089443454","38.53201376863581, 34.60372039794922"
B1224,Stork,"33.4972784850262, -65.31542506224672","70.91637097848252, 45.99508421392216"
B1225,Hawk,"34.131116841204744, -45.53055177571727","45.54222061940848, 91.23317497376894"
B1226,Swallow,"13.019510485641833, -39.02172965115133","4.490559030761034, 25.98361020467232"
B1227,Crane,"34.07594546899065, 94.48419570264451","-71.0797744594313, -108.88189392055529"
B1228,Warbler,"86.73525897725455, -24.79945615090733","45.88458738416767, 29.493390332086875"
B1229,Eagle,"-20.671139225791208, -116.25308218798033","-70.9848467327016, -72.76629273251308"
B1230,Crane,"38.25460563778148, 173.89474935013033","-27.4158260839093, -148.56318178497372"
B1231,Swallow,"-25.284779212044924, -2.382528972762799","-34.5615279302447, 117.15592732555"
B1232,Eagle,"63.77198377442866, -140.6706900638173","-25.339776589510805, -156.21403938295614"
B1233,Hawk,"64.44514924020629, 61.29898415737284","-30.68477218787516, 47.4131646094082"
B1234,Swallow,"72.40795657622729, 86.0984487102541","48.45234900900783, 175.85806067981167"
B1235,Crane,"-89.0166016364619, 0.0802220072023374","-59.08972788689064, -148.45709826971648"
B1236,Goose,"-36.32553990070293, 52.724598579835686","62.25228901932456, -100.75253617695114"
B1237,Stork,"-65.8936167837127, -117.83704878621722","64.48684454599274, 93.88951654840103"
B1238,Warbler,"-8.282484379771773, -47.54794129906358","-1.6333518919120422, -145.11811259398553"
B1239,Crane,"-0.8190643177264008, -121.74170278621816","-70.89322527193367, 119.78100917665256"
B1240,Eagle,"-43.93727229066201, -40.595307708669","13.573303022815608, -179.90275595157797"
B1241,Swallow,"40.22036856811266, 22.60818798729088","57.76764692385143, 140.3810425986759"
B1242,Stork,"-41.44145090598551, -20.685813414511216","-37.89476653961669, -155.94366516561183"
B1243,Swallow,"63.700447551004544, 33.55734266486661","60.79453635536797, 151.91274549310327"
B1244,Eagle,"-58.02131373447837, 0.6333024126786597","31.845393488642078, 131.23844389825615"
B1245,Swallow,"-23.897646942248954, -65.58682557536773","87.70435933371039, 14.242722795754815"
B1246,Goose,"22.002796516374914, -128.37024067643563","58.44804542795981, 100.06150622312992"
B1247,Stork,"18.960312683385595, -89.03776988834021","-53.729916463262754, -153.0443347614529"
B1248,Stork,"-75.95475983907417, -107.74322931794404","-9.179269270648431, -131.346773300638"
B1249,Eagle,"62.32655019437067, 74.6720257286558","-71.36847633553052, -47.05655632103819"
B1250,Warbler,"17.651688017359533, 115.18806398845707","-77.45929797361964, 13.48509171057566"
B1251,Goose,"66.5747187672903, 79.33989790779327","37.08976335681095, 132.55713351841757"
B1252,Crane,"66.17440408101632, 51.744292918256974","74.32772485932188, 15.364961104118663"
B1253,Swallow,"8.26536426750559, -69.17351262704294","85.24359300154535, 59.473865696599205"
B1254,Hawk,"73.94066231605882, 75.95480127834406","-41.31605623880404, 64.75839128171123"
B1255,Swallow,"62.71340378642208, 37.8300455960927","-53.6811584653214, 135.924525930978"
B1256,Swallow,"82.46213002111878, -163.11838799245476","10.839579671021411, 99.63170779449143"
B1257,Crane,"63.08971174069313, 146.74036262162957","-53.84518684557157, 171.73090745301852"
B1258,Swallow,"57.8166931802069, -151.21661720340987","-36.736723787720656, -172.79545025226906"
B1259,Goose,"-5.515113478155925, 0.974845497181974","60.70073941412011, -105.18167643956784"
B1260,Goose,"-51.83440913197301, 4.704894978863308","55.88331416580709, 154.96046475546257"
B1261,Stork,"73.92757195358746, 121.32258795301738","71.11318950063767, 105.1992794530371"
B1262,Eagle,"40.05885356029361, 148.70430037525188","-3.1961673128764687, -83.74941142741822"
B1263,Warbler,"-39.28538444426635, 158.28328494352542","11.53543206482351, 170.7287958433683"
B1264,Hawk,"-28.620769903984357, 25.08196805243213","48.70611146928599, 133.1571698044978"
B1265,Swallow,"33.494132134299704, 64.45520287617725","-46.932204038472186, -156.7233984854676"
B1266,Swallow,"-3.992884496339244, -148.1328495314773","58.15684643087474, 112.0715441825559"
B1267,Crane,"-75.33313886765372, -4.350236096152003","-86.83965363078806, 102.41554080624188"
B1268,Eagle,"-64.53936976578174, 143.22841352722247","53.57877998612895, -100.38490146820384"
B1269,Goose,"44.21676303221602, -15.94902562629801","49.66343061345125, 60.92874399171765"
B1270,Hawk,"-30.857484873270444, -154.94618324396498","-35.67960902833323, 169.28133085127763"
B1271,Stork,"1.376897112367061, -107.7691887300767","41.02422446899763, 63.312766721563264"
B1272,Goose,"47.99186608563463, -25.37750792322194","-51.48114945065055, 112.95546821987404"
B1273,Eagle,"45.21160686708944, -94.48981023274114","13.721874777698105, -144.2208528860667"
B1274,Warbler,"-59.9372951602907, -38.774669276980575","36.105619484939766, 81.8851641661667"
B1275,Stork,"-72.28910440817364, -60.13372487901874","38.64579883246165, -106.2883030651712"
B1276,Warbler,"16.4074127337162, -65.18554098625725","86.92832430402478, -154.13249791670555"
B1277,Crane,"43.49391730762312, -147.18074048753925","-57.23898086778051, 18.747872805251266"
B1278,Crane,"-63.17281404082613, 137.7772887911711","-3.456246799699599, 90.22000053505695"
B1279,Swallow,"-23.048048281090544, 69.37425124754873","68.41881796304881, 16.828151560213342"
B1280,Warbler,"66.65003927417533, 44.41748704888488","11.072269092600138, 155.37487463152087"
B1281,Eagle,"79.9601654808578, 38.32898691434647","67.75002457633622, 70.43988440378487"
B1282,Hawk,"-8.267443029056821, -37.259199102722846","-11.869420069397703, -137.67306336162156"
B1283,Stork,"-75.68713187445006, 116.39351118653995","53.16325580288688, 156.4265498431489"
B1284,Goose,"-43.61463788357207, 154.81439781405794","66.60887382243573, -124.9603263162822"
B1285,Eagle,"-48.06541434320406, -177.97779036164118","62.35908654791024, 92.97195969506164"
B1286,Eagle,"-46.986530302609744, -151.48854833831734","66.8457080202927, -126.52427545088764"
B1287,Crane,"-1.101293031734997, 62.991222251860506","-50.48015461069797, 179.48889928780488"
B1288,Warbler,"14.980617304482806, -95.01597981969402","-10.98285648924491, -60.4124970744313"
B1289,Swallow,"-67.94827403761164, 148.21379955715747","-58.577063209477245, -1.465444057893592"
B1290,Swallow,"70.08408117510018, 60.26870344185176","-57.50258806032768, -11.93849748548908"
B1291,Stork,"21.59528819060067, -47.4151481428633","-2.191084586781571, -143.3170062447599"
B1292,Crane,"17.505311448240974, -30.49833499940513","82.81579584766584, -2.1546000019482108"
B1293,Eagle,"87.71021970917116, 68.7177018887609","16.5440351342004, -126.17784205179444"
B1294,Hawk,"23.06591594876257, -129.25292306322842","63.69211738511496, 108.71309441599216"
B1295,Crane,"77.21264687421328, 138.02827688877937","78.69311901409208, 164.99283602743566"
B1296,Stork,"-38.47374497523749, -178.282188565136","-74.41643540446717, 110.9010388915695"
B1297,Stork,"-46.77669173763044, 172.42090318939182","-60.82848176768137, -24.81696165388783"
B1298,Crane,"2.973363628401557, -119.64762706928607","-37.64847956794987, -179.14629709641932"
B1299,Stork,"1.549610574599896, 87.16008910099765","21.019872238734948, -166.80835416261726"
B1300,Crane,"-49.232943092898566, -165.6271054644622","-78.88874067070356, -1.7873478222555832"
B1301,Goose,"35.93801824199059, -24.68559634448664","51.59781177470424, 64.61542848251119"
B1302,Crane,"-84.66591253739522, 46.912925633089486","-78.518030953925, 115.02506345667332"
B1303,Warbler,"34.31348505890148, -154.71811526648975","-61.48227463833877, 35.8313439169624"
B1304,Crane,"-7.707980497805977, -20.414329596027443","-21.29258444936619, 172.19272544766142"
B1305,Stork,"34.02135195211423, -70.8708948803199","10.389574196644972, -2.2399083745809207"
