Bird_ID,Species,Origin,Destination,Migration_Success
B1744,Goose,"64.089184, -157.742403","37.188825, -99.576643",Failed
B1752,Goose,"68.480113, -116.307171","30.032137, -91.933593",Successful
B1754,Goose,"69.133726, -155.259267","36.463474, -95.638457",Successful
B1756,Goose,"62.509540, -161.743803","32.531152, -99.894507",Failed
B1757,Goose,"60.595557, -162.142075","40.108007, -120.742294",Successful
B1783,Goose,"74.435770, -108.357848","41.072148, -118.208614",Failed
B1784,Goose,"62.671819, -150.331439","33.193298, -93.460720",Failed
B1791,Goose,"67.254685, -97.527849","33.989520, -94.457978",Successful
B1794,Goose,"67.856143, -116.029171","30.743328, -88.541881",Successful
B1815,Goose,"66.041120, -110.369083","28.325470, -89.122098",Successful
B1832,Goose,"74.602482, -102.135495","37.088456, -98.028782",Failed
B1848,Goose,"70.046549, -149.639961","36.039132, -121.111087",Failed
B1853,Goose,"69.652691, -140.997432","36.281242, -122.091469",Successful
B1856,Goose,"70.188391, -163.641238","28.626857, -88.215118",Successful
B1857,Goose,"68.345863, -114.516800","32.163204, -98.336614",Successful
B1859,Goose,"72.141511, -116.746589","32.368663, -99.877131",Successful
B1881,Goose,"65.592928, -147.452741","30.096890, -94.334507",Successful
B1886,Goose,"63.344000, -162.171242","43.642200, -118.632959",Successful
B1887,Goose,"65.044429, -159.715885","29.530035, -92.609970",Failed
B1889,Goose,"70.474051, -116.852991","32.614936, -93.944290",Failed
B1897,Goose,"68.373600, -118.192979","34.227313, -98.082011",Successful
B1902,Goose,"70.118698, -155.859822","32.591762, -88.864657",Successful
B1911,Goose,"74.836942, -114.933667","28.667789, -91.527590",Failed
B1931,Goose,"69.754162, -150.180833","32.207236, -93.348419",Successful
B1932,Goose,"70.187512, -110.333369","28.632285, -93.475816",Failed
B1947,Goose,"73.286666, -98.910906","34.437347, -98.884267",Failed
B1951,Goose,"64.318834, -162.256909","38.807247, -118.873046",Successful
B1952,Goose,"67.288951, -147.127462","34.383397, -99.774143",Successful
B1953,Goose,"68.193667, -157.337326","43.386267, -120.882874",Failed
B1958,Goose,"69.967546, -113.588868","30.580214, -90.927880",Successful
B1976,Goose,"66.607197, -163.468834","31.935946, -96.425470",Successful
B1982,Goose,"63.423808, -162.600876","34.161337, -96.251919",Successful
B1984,Goose,"61.753258, -161.213246","31.101722, -94.414035",Successful
B1985,Goose,"70.707247, -156.644311","40.808785, -119.444715",Failed
B1986,Goose,"65.567364, -156.573065","42.372087, -119.979412",Failed
B1992,Goose,"61.634105, -141.887804","32.539602, -92.506458",Successful
B2001,Goose,"68.783058, -159.857935","44.405890, -120.120747",Successful
B2007,Goose,"69.709766, -143.365323","29.535525, -91.580518",Successful
B2009,Goose,"70.751372, -161.378083","42.350291, -119.032432",Successful
B2014,Goose,"63.143184, -148.501384","28.199037, -89.893540",Failed
B2017,Goose,"65.844322, -106.565423","31.497390, -98.930388",Successful
B2038,Goose,"71.591300, -111.209066","30.996074, -92.258456",Failed
B2040,Goose,"74.716326, -111.735271","35.448742, -95.164329",Successful
B2045,Goose,"64.050367, -154.057759","43.611093, -123.543135",Failed
B2047,Goose,"71.354877, -105.036024","36.339322, -118.327369",Failed
B2056,Goose,"60.679247, -149.813576","40.280344, -119.041574",Failed
B2058,Goose,"70.948267, -163.547588","30.854667, -92.192010",Failed
B2061,Goose,"73.290527, -97.350609","39.022520, -118.585352",Failed
B2065,Goose,"69.777232, -97.131952","36.717023, -122.431632",Successful
B2076,Goose,"63.275293, -146.580360","39.841768, -118.415210",Successful
B2088,Goose,"69.889366, -142.400763","39.177324, -119.773643",Failed
B2092,Goose,"63.659537, -151.386739","32.250188, -99.307222",Successful
B2094,Goose,"68.081790, -95.667412","30.957238, -97.062877",Successful
B2107,Goose,"71.148146, -116.645623","36.219725, -119.785986",Failed
B2108,Goose,"63.110073, -157.375513","36.284119, -118.252691",Failed
B2117,Goose,"65.661873, -109.735348","32.083358, -92.235167",Failed
B2123,Goose,"62.549268, -148.409396","44.757622, -120.732522",Successful
B2132,Goose,"69.051016, -119.392463","30.202914, -95.175271",Successful
B2136,Goose,"67.330317, -156.645294","41.981183, -118.572098",Failed
B2141,Goose,"72.690371, -119.350937","28.994594, -92.830512",Failed
B2146,Goose,"69.014682, -113.384939","30.322796, -90.047676",Successful
B2151,Goose,"62.998866, -158.279510","35.211275, -94.403072",Failed
B2152,Goose,"67.969411, -152.790356","36.533623, -96.699722",Failed
B2183,Goose,"67.511392, -106.031394","28.029454, -90.495839",Failed
B2197,Goose,"69.870302, -142.861760","39.500053, -119.178849",Successful
B2200,Goose,"67.835248, -151.145094","32.873392, -89.352060",Successful
B2206,Goose,"64.666153, -141.314336","31.080761, -88.517625",Successful
B2217,Goose,"70.655108, -150.720118","36.079563, -119.537947",Successful
B2230,Goose,"69.843242, -143.890371","43.845008, -121.419193",Successful
B2231,Goose,"70.433914, -153.403756","41.188252, -122.371548",Successful
B2234,Goose,"63.638407, -164.468604","30.876792, -94.970582",Failed
B2236,Goose,"66.418944, -110.612430","36.006981, -121.183207",Successful
B2238,Goose,"69.933009, -145.441804","37.684746, -98.733639",Successful
B2258,Goose,"61.313687, -141.614685","44.547687, -119.559441",Successful
B2263,Goose,"65.202738, -156.968305","41.228540, -118.409037",Failed
B2284,Goose,"68.985039, -150.872915","37.864296, -118.212842",Successful
B2289,Goose,"74.093579, -106.525523","39.200477, -121.496227",Failed
B2291,Goose,"65.834801, -118.521299","32.070437, -98.819128",Failed
B2307,Goose,"65.415254, -145.042447","43.056512, -121.600631",Successful
B2318,Goose,"64.793247, -150.797158","29.229614, -91.357999",Successful
B2341,Goose,"72.021063, -110.143348","28.331719, -94.874850",Failed
B2342,Goose,"71.009135, -118.926246","28.544023, -89.216501",Failed
B2345,Goose,"68.498936, -164.787046","41.852978, -123.478072",Successful
B2363,Goose,"65.953512, -153.696879","40.062878, -120.916838",Successful
B2370,Goose,"66.255749, -143.757042","32.023417, -89.584277",Failed
B2377,Goose,"63.174950, -158.806489","44.178938, -120.238462",Successful
B2382,Goose,"63.807698, -142.024107","43.611605, -120.802497",Failed
B2386,Goose,"74.085930, -106.903877","30.142692, -89.589730",Successful
B2389,Goose,"69.544241, -111.350368","43.825988, -119.200048",Failed
B2402,Goose,"68.129061, -117.619306","36.529074, -97.004722",Failed
B2406,Goose,"73.476830, -95.333496","34.810409, -97.418324",Failed
B2420,Goose,"65.243204, -160.826013","28.987939, -88.548582",Successful
B2437,Goose,"62.207272, -162.888953","30.390210, -93.056445",Failed
B2441,Goose,"69.420539, -163.286242","30.696431, -99.245152",Successful
B2447,Goose,"62.341247, -164.906758","30.320961, -88.230240",Successful
B2450,Goose,"61.134838, -145.788250","30.155740, -96.846086",Failed
B2452,Goose,"67.417275, -163.622038","32.536099, -93.625790",Failed
B2454,Goose,"65.199139, -109.845146","31.724904, -88.461357",Failed
B2474,Goose,"67.158170, -143.910480","30.506041, -94.837398",Failed
B2476,Goose,"63.537122, -148.044840","35.261211, -122.513596",Failed
B2507,Goose,"69.242895, -151.301297","39.778670, -119.386645",Failed
B2512,Goose,"67.459856, -160.501282","38.252942, -120.849265",Failed
B2513,Goose,"70.555884, -113.516218","32.493452, -99.362080",Successful
B2517,Goose,"71.255502, -119.097234","30.490435, -90.168801",Failed
B2528,Goose,"63.408485, -160.193980","37.129258, -118.033634",Failed
B2529,Goose,"68.769437, -140.178600","37.356425, -95.562364",Failed
B2532,Goose,"70.155980, -150.317423","36.633757, -121.683772",Failed
B2538,Goose,"72.268966, -114.020542","30.748253, -89.413803",Failed
B2558,Goose,"63.104448, -145.218738","35.580428, -120.546117",Failed
B2571,Goose,"61.703008, -160.463451","31.229551, -96.414072",Failed
B2573,Goose,"66.798334, -143.119083","30.045435, -89.858138",Failed
B2584,Goose,"65.756102, -142.113925","29.413326, -92.836308",Failed
B2585,Goose,"70.150374, -164.226263","35.496489, -118.583698",Successful
B2591,Goose,"69.050016, -107.374253","32.557247, -90.796752",Failed
B2593,Goose,"64.091868, -156.702996","36.639401, -119.975648",Failed
B2604,Goose,"68.894735, -119.650379","37.611668, -93.466226",Successful
B2609,Goose,"70.381592, -159.100640","39.420757, -123.159487",Successful
B2613,Goose,"68.971981, -160.202699","39.009579, -123.777272",Failed
B2619,Goose,"65.700630, -154.005880","40.446188, -120.923777",Failed
B2624,Goose,"66.287487, -119.553647","35.736111, -98.857239",Successful
B2634,Goose,"65.533292, -158.782377","29.412969, -94.794452",Successful
B2635,Goose,"65.565770, -111.264517","29.984114, -88.411843",Failed
B2638,Goose,"66.425787, -113.257478","37.559738, -96.857799",Successful
B2643,Goose,"65.722433, -159.062168","28.188814, -91.171504",Successful
B2645,Goose,"71.213724, -106.310444","32.567877, -94.758606",Successful
B2649,Goose,"67.625211, -112.947796","31.841950, -97.896845",Successful
B2654,Goose,"60.846858, -146.837736","33.201287, -97.777074",Failed
B2658,Goose,"71.156857, -117.619376","30.665747, -88.721598",Successful
B2666,Goose,"64.255636, -149.884221","36.668740, -120.702661",Failed
B2672,Goose,"66.913131, -158.187612","36.644372, -118.728499",Successful
B2675,Goose,"73.550733, -100.581629","31.303656, -90.674213",Successful
B2679,Goose,"62.297320, -152.997769","32.264742, -99.403624",Failed
B2681,Goose,"61.165000, -154.776965","41.906618, -118.842265",Failed
B2690,Goose,"65.369042, -100.763156","28.274716, -88.049218",Failed
B2701,Goose,"66.872564, -95.389604","35.672437, -96.738953",Failed
B2708,Goose,"69.034313, -160.872483","31.609735, -92.318266",Failed
B2721,Goose,"61.977888, -154.548128","42.533766, -119.408024",Successful
B2723,Goose,"73.958783, -102.756382","39.512002, -122.957213",Successful
B2724,Goose,"66.938642, -150.404223","41.718087, -120.717003",Successful
B2733,Goose,"63.961428, -142.178602","42.902455, -121.133976",Failed
B2738,Goose,"74.155645, -104.529718","33.284544, -97.010567",Successful
B2745,Goose,"63.675405, -162.619386","39.984719, -123.171357",Failed
B2755,Goose,"64.861606, -143.744885","37.167291, -118.977763",Failed
B2771,Goose,"69.377120, -141.820085","40.908033, -119.673196",Failed
B2776,Goose,"72.082208, -102.641936","40.207541, -118.325220",Failed
B2779,Goose,"71.778814, -97.531699","41.499577, -123.620279",Failed
B2781,Goose,"63.227250, -147.859211","40.954616, -123.193832",Successful
B2785,Goose,"67.218269, -101.106853","37.769409, -95.263361",Successful
B2788,Goose,"67.138200, -152.086598","44.035741, -122.758884",Successful
B2796,Goose,"64.605987, -140.766377","43.639958, -120.291522",Failed
B2800,Goose,"62.675702, -147.881072","44.040831, -119.408200",Successful
B2806,Goose,"64.807333, -160.436488","36.312485, -97.834425",Failed
B2808,Goose,"61.727189, -151.853501","41.254227, -123.839413",Successful
B2817,Goose,"64.998899, -149.414499","35.023609, -120.602282",Successful
B2821,Goose,"60.828481, -160.737243","35.133057, -118.216154",Successful
B2833,Goose,"62.803051, -163.496913","30.831264, -93.062443",Successful
B2836,Goose,"66.477183, -97.861060","30.417589, -93.772019",Failed
B2839,Goose,"71.993561, -102.927807","30.064636, -96.480639",Failed
B2842,Goose,"65.147991, -146.735497","33.918663, -97.935038",Successful
B2843,Goose,"64.964419, -164.726726","40.473069, -123.830310",Successful
B2849,Goose,"61.496171, -154.992595","30.938051, -95.983934",Failed
B2866,Goose,"65.100069, -105.663577","30.691744, -90.765093",Failed
B2880,Goose,"68.228934, -101.531919","40.694103, -121.542837",Successful
B2882,Goose,"68.511982, -164.689400","35.903228, -121.593426",Failed
B2897,Goose,"61.065624, -146.477987","30.914996, -94.331526",Failed
B2910,Goose,"67.325917, -103.505701","44.305489, -119.346676",Successful
B2924,Goose,"69.775528, -103.530348","30.495072, -89.245335",Successful
B2926,Goose,"73.672218, -109.217713","32.211709, -98.421088",Failed
B2928,Goose,"68.851452, -140.347188","32.692051, -89.764018",Successful
B2931,Goose,"61.255256, -160.446479","35.651847, -120.801427",Failed
B2943,Goose,"74.869112, -110.939734","30.376789, -92.326420",Successful
B2947,Goose,"64.295556, -149.215197","36.472966, -95.987040",Failed
B2949,Goose,"72.750804, -111.994100","32.227258, -95.362013",Failed
B2950,Goose,"70.756234, -152.566219","39.586434, -122.781498",Successful
B2964,Goose,"68.795247, -107.866834","36.187949, -95.872491",Successful
B2974,Goose,"66.335775, -160.160389","37.809664, -119.475055",Successful
B2976,Goose,"74.958693, -107.798903","31.385966, -93.746195",Failed
B2983,Goose,"73.369503, -111.406744","29.945286, -92.648700",Successful
B2989,Goose,"61.782131, -141.377241","44.535321, -121.487493",Successful
B2990,Goose,"61.244414, -154.250300","28.385571, -88.473565",Successful
B2999,Goose,"62.403819, -157.961461","36.598944, -123.906513",Successful
B3004,Goose,"73.647068, -111.042352","32.455748, -91.205839",Failed
B3006,Goose,"70.294152, -156.735757","33.666024, -99.140958",Failed
B3023,Goose,"64.746041, -164.394995","30.330406, -94.196104",Successful
B3033,Goose,"66.616586, -112.535802","34.891304, -97.282211",Failed
B3038,Goose,"69.233455, -95.771180","34.923357, -95.556045",Successful
B3039,Goose,"68.640036, -162.674024","31.617286, -98.495565",Failed
B3045,Goose,"71.365760, -105.211918","43.471561, -122.067680",Successful
B3047,Goose,"69.480304, -105.155983","30.176227, -90.604248",Failed
B3053,Goose,"63.180202, -144.776812","37.188785, -120.998840",Failed
B3061,Goose,"71.621873, -117.511726","38.527270, -121.148863",Successful
B3069,Goose,"64.371731, -144.468352","31.092276, -93.941889",Successful
B3071,Goose,"66.736343, -118.432799","30.315587, -94.344554",Successful
B3083,Goose,"71.310299, -99.318655","37.554567, -94.565255",Successful
B3090,Goose,"62.543252, -163.244496","40.381122, -122.110098",Successful
B3094,Goose,"65.751627, -114.557523","35.960767, -93.558922",Successful
B3096,Goose,"65.968383, -114.704288","31.257902, -93.703985",Failed
B3097,Goose,"70.063522, -141.783856","35.299439, -98.594011",Successful
B3117,Goose,"70.770176, -158.970024","38.152541, -121.219680",Successful
B3119,Goose,"60.130113, -143.070805","43.039109, -123.472221",Successful
B3120,Goose,"65.750396, -97.245063","35.186088, -96.287201",Successful
B3122,Goose,"70.223673, -156.124221","35.157985, -98.625115",Failed
B3136,Goose,"70.270587, -145.782267","40.527059, -119.689397",Failed
B3161,Goose,"68.843621, -118.766062","32.205102, -93.140763",Successful
B3165,Goose,"74.913447, -116.546660","29.878781, -94.932695",Failed
B3171,Goose,"62.557533, -162.807459","30.351616, -94.736820",Failed
B3184,Goose,"68.783946, -161.517323","31.825578, -93.823207",Failed
B3192,Goose,"74.137106, -98.379630","34.004336, -93.980012",Successful
B3215,Goose,"70.924374, -160.044070","33.903673, -97.684294",Successful
B3220,Goose,"68.931105, -144.225967","30.704082, -98.170003",Failed
B3222,Goose,"61.884062, -161.267558","31.399652, -98.324874",Failed
B3248,Goose,"60.832305, -164.381019","39.423992, -123.104005",Successful
B3249,Goose,"73.756967, -111.421378","31.287495, -94.268009",Successful
B3252,Goose,"61.686342, -161.018982","42.079434, -123.044862",Successful
B3261,Goose,"61.327891, -158.214440","39.002078, -118.006728",Failed
B3264,Goose,"71.573994, -106.417698","29.527572, -94.407793",Successful
B3267,Goose,"66.736920, -146.147735","41.884214, -121.802798",Failed
B3269,Goose,"65.647080, -144.498926","33.421725, -93.790628",Failed
B3270,Goose,"63.051039, -143.470424","43.030061, -123.587800",Failed
B3272,Goose,"60.418289, -163.422727","33.128143, -98.567107",Failed
B3273,Goose,"66.739215, -110.566443","31.498192, -91.895944",Failed
B3288,Goose,"73.487261, -107.038362","32.286600, -91.931415",Successful
B3290,Goose,"66.147210, -151.497782","30.185861, -94.543799",Failed
B3303,Goose,"60.176466, -156.867520","41.403207, -120.403220",Failed
B3305,Goose,"65.433548, -157.426145","39.969476, -118.959951",Successful
B3311,Goose,"70.814250, -116.416494","33.403637, -97.454703",Failed
B3314,Goose,"60.690735, -151.577740","33.771920, -98.350265",Successful
B3323,Goose,"70.026481, -115.705720","36.139316, -94.752508",Failed
B3335,Goose,"66.443814, -97.267671","28.087381, -89.413588",Successful
B3337,Goose,"73.935216, -114.393363","37.569126, -120.154023",Failed
B3345,Goose,"70.879582, -150.818692","44.050469, -122.608992",Failed
B3360,Goose,"65.425337, -144.336496","44.162718, -121.592518",Successful
B3370,Goose,"64.357550, -157.781076","35.660550, -96.613521",Successful
B3375,Goose,"73.001105, -98.669816","36.610386, -94.285247",Successful
B3377,Goose,"66.382152, -154.823346","40.503186, -122.907026",Successful
B3379,Goose,"66.112192, -101.149973","28.817486, -89.746846",Successful
B3381,Goose,"62.542571, -156.812659","30.833098, -88.732040",Failed
B3385,Goose,"72.332170, -95.182282","28.988289, -89.489064",Failed
B3388,Goose,"67.254342, -144.446927","36.056118, -119.360778",Failed
B3394,Goose,"66.713747, -162.505809","43.200080, -123.268316",Failed
B3399,Goose,"73.186335, -100.549340","36.789894, -97.496325",Failed
B3403,Goose,"67.995485, -141.096587","35.117197, -120.020680",Failed
B3407,Goose,"72.699960, -101.277536","35.654055, -99.354470",Successful
B3423,Goose,"73.265575, -100.454315","32.815235, -92.199005",Failed
B3431,Goose,"66.045751, -140.088268","32.254216, -99.709522",Failed
B3444,Goose,"73.406255, -116.173154","28.650158, -94.565980",Successful
B3448,Goose,"60.183971, -145.507401","41.234604, -118.639344",Successful
B3450,Goose,"67.492357, -111.443805","37.917117, -99.804307",Failed
B3482,Goose,"63.409694, -151.146093","36.579465, -121.217299",Successful
B3484,Goose,"72.439537, -103.227993","29.998779, -88.965370",Failed
B3489,Goose,"61.632530, -141.390891","40.648842, -121.267953",Failed
B3504,Goose,"62.672761, -157.398911","30.140948, -95.642189",Failed
B3507,Goose,"72.992435, -118.928823","35.419853, -93.828482",Failed
B3511,Goose,"67.740542, -155.872288","32.497676, -91.807849",Failed
B3513,Goose,"66.117798, -140.980453","37.878995, -98.315416",Failed
B3520,Goose,"71.496138, -99.870995","31.849111, -91.846687",Successful
B3529,Goose,"65.637845, -155.893584","39.983423, -121.072221",Failed
B3530,Goose,"66.194019, -152.848142","38.172215, -121.562451",Failed
B3533,Goose,"68.189739, -157.126873","35.241687, -94.209261",Successful
B3543,Goose,"61.151431, -143.091867","30.984137, -99.199650",Successful
B3547,Goose,"65.679193, -151.172624","32.345639, -94.248070",Failed
B3549,Goose,"72.715885, -103.448752","35.815583, -94.206909",Successful
B3551,Goose,"68.310420, -140.086747","44.091061, -121.172784",Successful
B3552,Goose,"68.152876, -109.443989","28.267991, -88.099408",Successful
B3554,Goose,"69.152858, -113.526784","36.626219, -97.851766",Failed
B3570,Goose,"62.131199, -144.567269","30.895114, -91.957321",Failed
B3573,Goose,"66.902512, -118.484613","30.950431, -89.462427",Successful
B3574,Goose,"66.115569, -100.326334","37.930561, -94.700351",Successful
B3589,Goose,"63.714997, -149.911831","31.883583, -94.312292",Successful
B3597,Goose,"61.374724, -158.004462","32.843116, -97.962243",Failed
B3598,Goose,"66.876684, -150.204211","42.109789, -122.697021",Successful
B3614,Goose,"70.495633, -116.692565","35.911693, -98.273060",Failed
B3628,Goose,"65.367084, -144.220788","33.693773, -93.694163",Failed
B3633,Goose,"70.343802, -164.069077","31.441116, -95.713990",Failed
B3634,Goose,"60.905791, -148.335439","28.474072, -89.537880",Failed
B3639,Goose,"70.430005, -158.768807","30.643403, -88.114591",Failed
B3640,Goose,"60.853971, -158.488357","41.012211, -120.145602",Successful
B3645,Goose,"68.651851, -118.602471","33.789032, -93.665934",Failed
B3649,Goose,"72.953634, -114.400790","33.921168, -99.724103",Failed
B3659,Goose,"69.337892, -101.386706","34.776832, -94.603788",Failed
B3682,Goose,"60.654497, -149.228362","37.228689, -93.957893",Failed
B3694,Goose,"66.468316, -151.940580","36.413453, -93.844931",Successful
B3697,Goose,"66.560280, -145.696267","38.963961, -120.589616",Successful
B3698,Goose,"65.284387, -119.854705","35.677712, -122.030413",Successful
B3702,Goose,"69.433325, -145.910081","35.046512, -93.843899",Failed
B3709,Goose,"66.823906, -148.644113","32.255521, -97.942539",Failed
B3716,Goose,"70.935612, -109.714140","28.735423, -92.435847",Successful
B3718,Goose,"65.443578, -145.336246","31.927287, -99.792178",Successful
B3728,Goose,"70.450308, -109.889538","31.937896, -93.824452",Successful
B3739,Goose,"61.136459, -152.749417","38.959576, -118.921330",Failed
B3742,Goose,"63.863116, -161.768399","31.935063, -92.312302",Failed
B3743,Goose,"65.196667, -141.201626","32.589685, -89.506118",Failed
B3746,Goose,"71.632942, -104.987702","31.383964, -98.390914",Failed
B3748,Goose,"67.773609, -113.359004","28.927420, -91.954962",Successful
B3752,Goose,"70.576081, -161.065270","30.039500, -93.477497",Failed
B3757,Goose,"74.640174, -95.909038","30.452977, -89.336693",Failed
B3759,Goose,"66.114462, -140.089807","42.582498, -118.784967",Failed
